# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
luo zi 	落子	c=1 d=1 t=162948
lv 	呂	c=10 d=1 t=147931
lv 	率	c=91 d=0.1 t=202370
lv 	綠	c=10 d=1 t=190725
lv bu 	呂布	c=1 d=1 t=14896
lv cha 	綠茶	c=1 d=1 t=88552
lv cheng 	旅程	c=1 d=1 t=196324
lv cheng 	綠城	c=2 d=1 t=93823
lv deng 	綠燈	c=1 d=1 t=59297
lv hao 	呂皓	c=1 d=1 t=61101
lv jing 	濾鏡	c=1 d=1 t=6262
lv mao zi 	綠帽子	c=1 d=1 t=115189
lv se 	綠色	c=4 d=1.03456 t=204308
lv shi 	律師	c=0 d=0.1 t=68884
lv tu 	旅途	c=1 d=1 t=94717
lv xing 	履行	c=1 d=1 t=147803
lv xing 	旅行	c=2 d=1 t=96155
lv you 	旅遊	c=1 d=1 t=15829
lv zhou 	綠洲	c=1 d=1 t=40862
lve 	略	c=1 d=1 t=134302
ma 	嗎	c=1044 d=1.48829 t=205904
ma 	媽	c=7 d=1 t=193796
ma 	瑪	c=2 d=1 t=84980
ma 	碼	c=13 d=1 t=148695
ma 	罵	c=9 d=1.91851 t=198348
ma 	馬	c=33 d=1 t=185375
ma 	麻	c=1 d=1 t=163554
ma chang 	碼長	c=1 d=0.000220415 t=4073
ma chang 	馬場	c=1 d=1 t=94897
ma dai 	麻袋	c=1 d=1 t=39599
ma ding 	馬丁	c=2 d=1.98511 t=81958
ma dou 	麻豆	c=1 d=1 t=163557
ma er 	馬爾	c=1 d=1 t=139889
ma er ke fu 	馬爾可夫	c=4 d=1 t=164467
ma fan 	麻煩	c=52 d=1.00236 t=205135
ma guo 	罵過	c=2 d=1 t=198317
ma ju 	馬具	c=3 d=1 t=52139
ma ke si 	馬克思	c=1 d=1 t=34602
ma li 	瑪麗	c=1 d=1 t=13384
ma li ao 	馬里奧	c=77 d=1 t=158514
ma lu 	馬路	c=1 d=1 t=33851
ma ma 	媽媽	c=13 d=1 t=184286
ma mu 	麻木	c=1 d=1 t=170649
ma shang 	馬上	c=13 d=1 t=194152
ma tong 	馬桶	c=1 d=1 t=53075
ma yi 	螞蟻	c=4 d=1 t=61291
ma yun 	碼雲	c=1 d=1 t=55402
ma yun 	馬雲	c=2 d=1 t=159872
mac 	Mac	c=8 d=1.81465 t=188149
mai 	脈	c=3 d=1 t=67140
mai 	買	c=250 d=1.00498 t=205169
mai 	賣	c=55 d=1 t=206592
mai 	霾	c=1 d=1 t=53898
mai 	麥	c=4 d=1 t=145632
mai bo 	脈搏	c=1 d=1 t=36659
mai bu dao 	買不到	c=1 d=1 t=99670
mai cai 	買菜	c=1 d=1 t=114651
mai chu 	賣出	c=1 d=1 t=87050
mai dao 	買到	c=8 d=1.00002 t=146491
mai de 	買的	c=1 d=1 t=170714
mai de qi 	買得起	c=1 d=1 t=118064
mai dian 	賣點	c=1 d=1 t=147531
mai duan 	買斷	c=1 d=1 t=68960
mai fang 	買房	c=2 d=1 t=155723
mai ge 	買個	c=1 d=1 t=84971
mai gei 	賣給	c=1 d=1 t=95428
mai guang 	買光	c=1 d=1 t=94875
mai guo 	買過	c=1 d=1 t=54141
mai ke 	麥克	c=2 d=1 t=76079
mai ke feng 	麥克風	c=6 d=1.3934 t=41260
mai ken xi 	麥肯錫	c=1 d=1 t=170994
mai mai 	脈脈	c=26 d=0.1 t=190565
mai mai 	買賣	c=1 d=1 t=13477
mai mai shang 	脈脈上	c=1 d=1 t=190566
mai qian 	買前	c=1 d=1 t=84768
mai ru 	買入	c=2 d=1 t=148088
mai ru jia 	買入價	c=1 d=1 t=143790
mai shang 	買上	c=1 d=1 t=11124
mai shu 	買書	c=1 d=1 t=54156
mai shu 	賣書	c=1 d=1 t=85487
mai tian 	麥田	c=1 d=1 t=159798
mai tou 	埋頭	c=1 d=1 t=191514
mai wan 	買完	c=3 d=1 t=144727
mai xia 	埋下	c=1 d=1 t=14406
mai yi ge 	買一個	c=1 d=1 t=203956
mai you 	賣友	c=1 d=1 t=117560
man 	慢	c=45 d=1 t=200920
man 	曼	c=8 d=1 t=201264
man 	滿	c=26 d=1 t=198697
man 	蠻	c=5 d=1 t=196984
man chang 	漫長	c=2 d=1 t=140509
man hao 	蠻好	c=6 d=1.14936 t=184446
man hao de 	蠻好的	c=2 d=1 t=163935
man ji chu 	慢基礎	c=1 d=1 t=118801
man man 	慢慢	c=19 d=1 t=205570
man man 	滿滿	c=1 d=1 t=194536
man man de 	慢慢地	c=1 d=1 t=49332
man man zheng li ba 	慢慢整理吧	c=1 d=1 t=191492
man wu mu di 	漫無目的	c=2 d=1 t=182055
man yi 	滿意	c=8 d=1 t=191794
man yi du 	滿意度	c=2 d=1.09163 t=73142
man you 	漫遊	c=1 d=1 t=189232
man zu 	滿足	c=23 d=1 t=195752
man zu gan 	滿足感	c=2 d=1 t=103806
mang 	忙	c=14 d=1 t=156285
mang 	盲	c=7 d=1 t=145707
mang dian 	盲點	c=2 d=1.8825 t=95672
mang guo 	芒果	c=2 d=1 t=62920
mang mai 	盲買	c=1 d=1 t=82498
mang mu 	盲目	c=2 d=1.00002 t=9898
mang qu 	盲區	c=1 d=1 t=164320
mao 	冒	c=1 d=1 t=17040
mao 	帽	c=2 d=1.79453 t=80784
mao 	毛	c=5 d=1 t=204003
mao 	茂	c=18 d=1 t=197598
mao 	貓	c=5 d=0.1 t=192082
mao dun 	矛盾	c=4 d=1.94176 t=149223
mao gou 	貓狗	c=1 d=1 t=143560
mao li 	毛利	c=1 d=1 t=202320
mao mei 	冒昧	c=1 d=1 t=37801
mao pao 	冒泡	c=6 d=1.00173 t=202370
mao pao de 	冒泡的	c=1 d=1 t=200976
mao rong 	茂榕	c=20 d=2.84467 t=199607
mao si 	貌似	c=6 d=1 t=204943
mao tou ying 	貓頭鷹	c=1 d=1 t=139403
mao xian 	冒險	c=19 d=0.1 t=119790
mao zi 	帽子	c=1 d=1 t=24574
mao zi 	毛子	c=1 d=1 t=100740
me 	麼	c=28 d=1.00047 t=196012
me duo 	麼多	c=2 d=1 t=119501
me you 	麼有	c=6 d=1 t=196256
mei 	梅	c=4 d=1 t=189755
mei 	每	c=84 d=1.11533 t=201063
mei 	沒	c=141 d=1.94704 t=203080
mei 	美	c=16 d=1 t=186700
mei ban fa 	沒辦法	c=2 d=1 t=93758
mei ben shi 	沒本事	c=3 d=1 t=199376
mei bian 	每邊	c=1 d=1 t=14312
mei ceng 	每層	c=2 d=1 t=56649
mei ci 	每次	c=46 d=1.00714 t=204621
mei dang 	每當	c=1 d=1 t=168474
mei de 	美德	c=1 d=1 t=134191
mei dong 	美東	c=8 d=1.54071 t=153149
mei fa 	沒法	c=1 d=1 t=133652
mei fen zhong 	每分鐘	c=1 d=1 t=193705
mei ge 	每個	c=87 d=1.0003 t=204168
mei ge ceng 	每個層	c=1 d=1 t=193292
mei ge ren 	每個人	c=2 d=1 t=97944
mei ge yue 	每個月	c=14 d=1 t=186285
mei gei 	沒給	c=1 d=1 t=112423
mei gu 	美股	c=3 d=1 t=128061
mei guan 	美觀	c=3 d=1 t=182189
mei guan xi 	沒關係	c=7 d=1 t=203250
mei guo 	美國	c=35 d=1 t=183518
mei guo ren 	美國人	c=1 d=1 t=63212
mei hang 	每行	c=1 d=1 t=181463
mei hao 	美好	c=3 d=1 t=172518
mei hua 	梅花	c=1 d=1 t=101725
mei hua 	美化	c=4 d=2.83173 t=157620
mei ji ge 	沒幾個	c=1 d=1 t=120389
mei jie 	媒介	c=1 d=1 t=152520
mei jie chu 	沒接觸	c=1 d=1 t=184078
mei jing yan 	沒經驗	c=1 d=1 t=110374
mei ju 	枚舉	c=2 d=1.90484 t=39820
mei ju 	每局	c=2 d=1.80252 t=162937
mei ju 	美劇	c=2 d=1 t=94578
mei kan 	沒看	c=1 d=1 t=17083
mei kan dao 	沒看到	c=1 d=1 t=40014
mei kong jian 	每空間	c=1 d=1 t=51039
mei li 	美麗	c=5 d=3.90194 t=92479
mei li 	魅力	c=1 d=1 t=10592
mei li jian 	美利堅	c=2 d=1 t=97020
mei li ren sheng 	美麗人生	c=1 d=1 t=92468
mei lin 	梅林	c=1 d=1 t=76028
mei mao 	美貌	c=1 d=1 t=103312
mei mei 	妹妹	c=4 d=1 t=145578
mei mei 	美美	c=1 d=1 t=194376
mei miao 	美妙	c=2 d=1.12431 t=171620
mei mu 	眉目	c=1 d=1 t=125905
mei nian 	每年	c=4 d=1 t=156503
mei pian 	每篇	c=6 d=1 t=200119
mei qian 	沒錢	c=5 d=1 t=201722
mei qu 	沒去	c=2 d=1 t=101924
mei ren 	每人	c=5 d=1 t=202496
mei ren 	沒人	c=3 d=1 t=158851
mei ri 	每日	c=16 d=1 t=202745
mei shang 	沒上	c=1 d=1 t=95953
mei shang qu 	沒上去	c=1 d=1 t=141430
mei shen me 	沒什麼	c=2 d=1 t=123236
mei shi 	沒事	c=12 d=1.00003 t=202617
mei shi 	美事	c=1 d=1 t=99631
mei shi 	美式	c=4 d=1.93707 t=69692
mei shi 	美食	c=2 d=1 t=124353
mei shi bu yao 	沒事不要	c=1 d=1 t=198408
mei shu 	美術	c=1 d=1 t=138205
mei tai 	每臺	c=2 d=1 t=192755
mei tai duo 	沒太多	c=1 d=3.90761e-05 t=4073
mei ti 	媒體	c=2 d=1 t=139337
mei ti 	沒提	c=2 d=1 t=133934
mei tian 	每天	c=146 d=1.00132 t=205393
mei tian de 	每天的	c=3 d=1 t=204560
mei tian shi ji shang 	每天實際上	c=1 d=1 t=189399
mei tiao 	每條	c=4 d=1.07531 t=162860
mei tiao bian 	每條邊	c=1 d=1 t=162861
mei tuan 	美團	c=8 d=1 t=199485
mei xiao shi 	每小時	c=1 d=1 t=157779
mei xie 	沒寫	c=1 d=1 t=198521
mei xie 	美協	c=1 d=1 t=56183
mei xing 	沒醒	c=1 d=1 t=166147
mei xue 	梅雪	c=1 d=1 t=116844
mei xue 	美學	c=4 d=1 t=164565
mei yan 	美顏	c=1 d=0.1 t=147130
mei yan de 	美顏的	c=1 d=1 t=147131
mei yao 	沒要	c=2 d=1 t=11171
mei yi 	每一	c=2 d=0.1 t=162033
mei yi bu 	每一步	c=3 d=1.99005 t=71955
mei yi ceng 	每一層	c=4 d=1 t=141604
mei yi ci 	每一次	c=10 d=1 t=206345
mei yi duan 	每一段	c=1 d=1 t=39560
mei yi ge 	每一個	c=29 d=1.00002 t=203284
mei yi hang 	每一行	c=4 d=1 t=152224
mei yi jian shi qing 	沒一件事情	c=1 d=1 t=182518
mei yi lei 	每一類	c=1 d=1 t=182888
mei yi lun 	每一輪	c=3 d=1.98511 t=161198
mei yi nian 	每一年	c=1 d=1 t=96272
mei yi pian 	每一篇	c=3 d=1 t=167869
mei yi qi 	每一期	c=1 d=1 t=162034
mei yi si 	沒意思	c=1 d=1 t=43660
mei yi tian 	每一天	c=0 d=0.1 t=182467
mei yi tian dou shi 	每一天都是	c=1 d=1 t=182468
mei yi tiao 	每一條	c=2 d=1 t=127072
mei yi wei 	每一位	c=2 d=1 t=168253
mei yi ye 	每一頁	c=2 d=1 t=138197
mei yi zhang 	每一章	c=1 d=1 t=96890
mei yi zhong 	每一種	c=1 d=1 t=60436
mei yong 	沒用	c=10 d=1.00051 t=195330
mei you 	沒有	c=1557 d=4.98042 t=206619
mei you dao 	沒有到	c=1 d=1 t=196618
mei you duo shao 	沒有多少	c=2 d=1 t=192507
mei you gai hao 	沒有改好	c=1 d=1 t=180051
mei you gan 	沒有幹	c=1 d=1 t=144253
mei you gao 	沒有搞	c=1 d=1 t=155290
mei you guo 	沒有過	c=1 d=1 t=72745
mei you jie jue 	沒有解決	c=0 d=0.1 t=199794
mei you jie jue de 	沒有解決的	c=1 d=1 t=199795
mei you kan 	沒有看	c=1 d=1 t=173067
mei you lai 	沒有來	c=1 d=1 t=191549
mei you qu 	沒有去	c=1 d=1 t=159149
mei you ren 	沒有人	c=2 d=1 t=164060
mei you shen me 	沒有什麼	c=2 d=1 t=191757
mei you shuo 	沒有說	c=1 d=1 t=156072
mei you tai duo de 	沒有太多的	c=1 d=1 t=192194
mei you wen ti 	沒有問題	c=2 d=1 t=200771
mei you xia jiang 	沒有下降	c=1 d=1 t=187267
mei you xie 	沒有寫	c=1 d=1 t=198710
mei you yong 	沒有用	c=3 d=1 t=165161
mei yuan 	美元	c=12 d=1 t=147871
mei yue 	每月	c=23 d=1 t=181770
mei zai 	沒在	c=1 d=1 t=181523
mei zhang 	每章	c=1 d=1 t=119542
mei zhong 	每種	c=2 d=1 t=59283
mei zhou 	每週	c=37 d=1.00001 t=188815
mei zhou ri 	每週日	c=2 d=1 t=148211
mei zi xi 	沒仔細	c=1 d=1 t=119413
mei zu 	每組	c=3 d=0.1 t=193563
mei zu de 	每組的	c=1 d=1 t=193564
mei zun 	沒尊	c=1 d=1 t=30835
mei zuo 	沒做	c=1 d=1 t=40536
men 	們	c=98 d=1.00019 t=202944
men 	門	c=43 d=1.00054 t=202735
men de 	們的	c=2 d=1 t=188710
men dian 	門店	c=1 d=1 t=158687
men hai 	們還	c=1 d=1.70391e-05 t=4073
men jin 	門禁	c=1 d=1 t=29211
men kan 	門檻	c=2 d=1 t=183052
men kou 	門口	c=9 d=1.99501 t=196222
men ling 	門鈴	c=3 d=1.97531 t=182082
men wai 	門外	c=1 d=1 t=122758
men you 	們有	c=3 d=1 t=117346
meng 	夢	c=19 d=1 t=178927
meng 	孟	c=2 d=1.97531 t=181317
meng 	懵	c=1 d=1 t=193933
meng 	檬	c=1 d=1 t=193931
meng 	猛	c=3 d=1 t=53922
meng 	萌	c=1 d=1 t=43727
meng 	蒙	c=2 d=1 t=103965
meng 	錳	c=1 d=1 t=193932
meng gu 	蒙古	c=1 d=1 t=61398
meng han 	猛漢	c=1 d=1 t=141449
meng hu 	猛虎	c=1 d=1 t=59758
meng huan 	夢幻	c=2 d=1.97045 t=89037
meng long 	猛龍	c=1 d=1 t=5288
meng te ka luo 	蒙特卡洛	c=1 d=1 t=63072
meng xiang 	夢想	c=7 d=1.9802 t=203134
mi 	冪	c=2 d=1 t=192053
mi 	密	c=5 d=1 t=90264
mi 	祕	c=1 d=1 t=87412
mi 	米	c=21 d=1 t=204803
mi 	覓	c=1 d=1 t=201847
mi 	迷	c=5 d=1 t=176163
mi bao bao 	米寶寶	c=1 d=1 t=56378
mi bu 	彌補	c=4 d=1 t=196405
mi du 	密度	c=2 d=1 t=107975
mi fan 	米飯	c=3 d=1.02035 t=118289
mi fang 	祕方	c=1 d=1 t=191417
mi huo 	迷惑	c=1 d=1 t=122707
mi ji 	密集	c=4 d=1 t=182178
mi jue 	祕訣	c=1 d=1 t=171155
mi ku 	迷窟	c=1 d=1 t=147512
mi le 	米勒	c=1 d=1 t=4178
mi lu 	迷路	c=1 d=1 t=28055
mi luan 	迷亂	c=1 d=1 t=26459
mi ma 	密碼	c=40 d=2.17574 t=187531
mi mang 	迷茫	c=4 d=1.00009 t=199660
mi mang dao 	迷茫到	c=1 d=1 t=189519
mi meng 	咪蒙	c=1 d=1 t=77290
mi mi 	咪咪	c=2 d=1.2334 t=114606
mi mi 	米米	c=1 d=1 t=98038
mi mi hu hu 	迷迷糊糊	c=1 d=1 t=188567
mi mu 	米姆	c=1 d=1 t=59144
mi ren 	迷人	c=1 d=1 t=151435
mi yi yang 	謎一樣	c=1 d=1 t=139999
mian 	免	c=5 d=1.01174 t=158087
mian 	綿	c=1 d=1 t=41897
mian 	麪	c=75 d=1 t=204569
mian ban 	面板	c=1 d=1 t=125602
mian bao 	麪包	c=1 d=1 t=86579
mian bao che 	麪包車	c=1 d=1 t=40445
mian dui 	面對	c=10 d=1 t=180787
mian fei 	免費	c=34 d=1.93707 t=203248
mian fei du 	免費讀	c=1 d=1 t=99855
mian guo 	麪過	c=2 d=1 t=125187
mian huai 	緬懷	c=1 d=1 t=101595
mian ju 	面具	c=1 d=1 t=50191
mian lian 	麪聯	c=1 d=1 t=135727
mian lin 	面臨	c=1 d=1 t=53213
mian man 	瞑瞞	c=1 d=1 t=119197
mian qiang 	勉強	c=14 d=1.956 t=204065
mian shi 	面試	c=141 d=0.1 t=197451
mian shi de 	面試的	c=1 d=1 t=197452
mian shi guan 	面試官	c=1 d=1 t=20426
mian shi ti 	面試題	c=5 d=1 t=188799
mian shuang 	面霜	c=1 d=1 t=61301
mian shui 	免稅	c=3 d=1 t=126628
mian tiao 	麪條	c=3 d=1 t=121638
mian xi 	免息	c=3 d=1 t=67351
mian zi 	面子	c=1 d=1 t=143109
miao 	妙	c=1 d=1 t=176284
miao 	廟	c=3 d=1 t=77227
miao 	秒	c=39 d=1 t=180912
miao mang 	渺茫	c=1 d=1 t=89213
miao shu 	描述	c=17 d=1.54064 t=196116
miao shu de 	描述的	c=1 d=1 t=157546
miao shu xing 	描述性	c=4 d=1.11136 t=133959
miao wu 	繆誤	c=2 d=1.52729 t=134135
miao xiao 	渺小	c=1 d=1 t=191695
miao zhong 	秒鐘	c=2 d=1 t=103103
mie 	滅	c=2 d=1 t=167109
mie ding 	滅頂	c=1 d=1 t=135986
min 	敏	c=5 d=1 t=191851
min 	民	c=11 d=1 t=194809
min 	閔	c=1 d=1 t=28832
min gan 	敏感	c=6 d=1 t=196458
min hang 	民航	c=1 d=1 t=65836
min jian 	民間	c=1 d=1 t=195173
min zu 	民族	c=2 d=1 t=182339
ming 	名	c=47 d=1.00019 t=205190
ming 	命	c=2 d=1 t=99027
ming 	明	c=33 d=1 t=204038
ming 	銘	c=4 d=1.40861 t=198164
ming 	鳴	c=1 d=1 t=110619
ming bai 	明白	c=62 d=1 t=205892
ming bai le 	明白了	c=1 d=1 t=197743
ming cheng 	名稱	c=34 d=1.0034 t=202995
ming ci 	名次	c=1 d=1 t=49551
ming ci 	名詞	c=4 d=1 t=147956
ming dan 	名單	c=14 d=1 t=199646
ming e 	名額	c=7 d=1 t=198040
ming hou tian 	明後天	c=4 d=1 t=86461
ming ling 	命令	c=29 d=1 t=193154
ming ling hang 	命令行	c=2 d=1 t=198419
ming ming 	命名	c=21 d=1 t=200063
ming ming 	明明	c=3 d=1 t=57407
ming nian 	明年	c=12 d=1 t=206241
ming nian zhe ge 	明年這個	c=1 d=1 t=191840
ming qi 	名氣	c=1 d=1 t=103307
ming que 	明確	c=14 d=1.14086 t=195196
ming que de 	明確的	c=2 d=1 t=191263
ming ren 	名人	c=2 d=1 t=103310
ming shi 	明示	c=1 d=1 t=5536
ming tai 	明臺	c=6 d=1 t=158632
ming tan 	名壇	c=1 d=1 t=117652
ming tian 	明天	c=152 d=1 t=198299
ming tian xia wu 	明天下午	c=3 d=1 t=198955
ming tiao 	名條	c=1 d=1 t=40510
ming wan 	明晚	c=1 d=1 t=132700
ming wei 	名爲	c=1 d=1 t=179078
ming wen 	明文	c=7 d=1.5599 t=201523
ming xian 	明顯	c=18 d=1 t=202163
ming xian de 	明顯的	c=1 d=1 t=200536
ming xian ting qi lai 	明顯聽起來	c=1 d=1 t=189675
ming xiang 	冥想	c=2 d=1 t=182478
ming xiao 	名校	c=3 d=1 t=169687
ming xing 	明星	c=2 d=1 t=124361
ming yan 	名言	c=1 d=1 t=124209
ming zhong 	命中	c=13 d=1 t=181079
ming zi 	名字	c=51 d=1 t=200066
miu 	謬	c=2 d=1 t=109536
miu lun 	謬論	c=3 d=1 t=133988
miu wu 	謬誤	c=1 d=1 t=134006
mo 	墨	c=6 d=1.99501 t=74975
mo 	摸	c=1 d=1 t=146170
mo 	末	c=3 d=1.98511 t=94903
mo 	模	c=3 d=1.16447 t=152414
mo 	莫	c=2 d=1 t=100987
mo 	魔	c=1 d=1 t=99101
mo bai 	膜拜	c=1 d=1 t=93634
mo ban 	模板	c=13 d=1.00009 t=176766
mo cha 	抹茶	c=1 d=1 t=94440
mo dao 	摸到	c=1 d=1 t=106944
mo de 	磨得	c=1 d=1 t=68657
mo di 	摸底	c=2 d=1 t=173725
mo ding 	沒頂	c=1 d=1 t=133600
mo fang 	模仿	c=12 d=1.00213 t=186422
mo fang de 	模仿的	c=1 d=1 t=185653
mo fei 	墨菲	c=1 d=1 t=86356
mo gan 	莫甘	c=1 d=1 t=76034
mo ge 	磨隔	c=3 d=1 t=166919
mo gu jie 	蘑菇街	c=2 d=1.99501 t=61100
mo hu 	模糊	c=6 d=1 t=184777
mo jie 	魔戒	c=5 d=1 t=82122
mo jing 	墨鏡	c=1 d=1 t=203148
mo kuai 	模塊	c=16 d=1.48725 t=163505
mo ling 	抹零	c=1 d=1 t=9767
mo ming qi miao 	莫名其妙	c=0 d=0.1 t=97606
mo ming qi miao de 	莫名其妙地	c=1 d=1 t=97607
mo mo 	默默	c=2 d=1 t=180143
mo ni 	模擬	c=27 d=1 t=195190
mo ni qi 	模擬器	c=1 d=1 t=95922
mo ren 	默認	c=30 d=1 t=196509
mo ren de 	默認的	c=1 d=1 t=128169
mo ren zhi 	默認值	c=2 d=1.92312 t=118253
mo ri 	末日	c=1 d=1 t=175165
mo sheng 	陌生	c=2 d=1.97531 t=151384
mo sheng ren 	陌生人	c=1 d=1 t=26529
mo shi 	模式	c=68 d=1 t=190730
mo shou 	魔獸	c=1 d=1 t=9056
mo si 	莫斯	c=1 d=1 t=101984
mo tai 	模態	c=1 d=1 t=54483
mo tuo che 	摩托車	c=3 d=1 t=92601
mo wei 	末尾	c=3 d=1.02939 t=63245
mo xi ge 	墨西哥	c=2 d=1.99501 t=55587
mo xing 	末行	c=1 d=1 t=181369
mo xing 	模型	c=1867 d=6.54423 t=206275
mo xing de 	模型的	c=11 d=1 t=200698
mo xing gai zao 	模型改造	c=1 d=1 t=135400
mo xing hua 	模型化	c=1 d=1 t=186798
mo xing ma 	模型嗎	c=1 d=1 t=135424
mo xing ming 	模型名	c=2 d=1.21762 t=197509
mo xing tui song hao 	模型推送好	c=1 d=1 t=149626
mo xing xun lian 	模型訓練	c=1 d=1 t=18105
mo xing yong 	模型用	c=1 d=1 t=135018
mo xing zhong 	模型中	c=4 d=1 t=204092
mo xing zhong qu 	模型中去	c=1 d=1 t=189425
mo yang 	模樣	c=1 d=0.13068 t=4073
mo yin 	魔音	c=3 d=2.94092 t=40860
mou 	某	c=12 d=1 t=200180
mou ge 	某個	c=9 d=1 t=166920
mou ge ren 	某個人	c=1 d=1 t=92680
mou jian 	某件	c=1 d=1 t=134197
mou lei 	某類	c=1 d=1 t=168167
mou shi jian 	某事件	c=1 d=1 t=134323
mou xie 	某些	c=20 d=1 t=201127
mou xie ren 	某些人	c=1 d=1 t=91232
mou xiu 	懋修	c=1 d=1 t=123245
mou yi 	某一	c=2 d=1 t=134097
mou yi duan 	某一段	c=1 d=1 t=176293
mou yi ge 	某一個	c=6 d=1 t=172458
mou yi tian 	某一天	c=1 d=1 t=90755
mou yi xie 	某一些	c=1 d=1 t=84538
mou zhong 	某種	c=8 d=1 t=185197
mu 	墓	c=1 d=1 t=79807
mu 	木	c=3 d=1 t=172674
mu 	母	c=1 d=1 t=41982
mu 	沐	c=2 d=1 t=106920
mu 	目	c=3 d=1 t=185967
mu ban 	模板	c=11 d=1 t=187816
mu ban 	母版	c=2 d=1 t=138074
mu biao 	目標	c=156 d=1 t=206642
mu biao ci 	目標詞	c=1 d=1 t=163595
mu biao zhi 	目標值	c=1 d=1 t=64744
mu bu 	幕布	c=11 d=1.00127 t=206324
mu chang 	牧場	c=2 d=1 t=54753
mu dan 	牡丹	c=1 d=1 t=167932
mu di 	目的	c=12 d=1 t=191264
mu di di 	目的地	c=1 d=1 t=23083
mu di xing 	目的性	c=1 d=1 t=12733
mu gou 	母狗	c=1 d=1 t=168243
mu guang 	目光	c=1 d=1 t=97928
mu hou 	幕後	c=7 d=3.77034 t=106931
mu juan 	募捐	c=1 d=1 t=9984
mu lan 	木蘭	c=1 d=1 t=105591
mu lu 	目錄	c=102 d=2.08062 t=205965
mu lu de 	目錄的	c=1 d=1 t=193613
mu lu ma 	目錄嗎	c=1 d=1 t=47575
mu lu shang 	目錄上	c=1 d=1 t=174557
mu lu xia 	目錄下	c=5 d=1 t=200888
mu lu zhong 	目錄中	c=1 d=1 t=56575
mu min 	牧民	c=1 d=1 t=49427
mu qian 	目前	c=137 d=1.70474 t=205623
mu qian de 	目前的	c=1 d=1 t=205669
mu qian xian shang 	目前線上	c=1 d=1 t=192346
mu shi 	牧師	c=1 d=1 t=101981
mu yu lu 	沐浴露	c=3 d=1 t=79767
mu zhi 	拇指	c=1 d=1 t=95358
mu zhi 	木質	c=1 d=1 t=95359
mu zi 	木子	c=3 d=1.99501 t=156818
na 	哪	c=19 d=1.00004 t=205089
na 	娜	c=1 d=1 t=76035
na 	拿	c=80 d=1 t=206123
na 	納	c=1 d=1 t=94669
na 	那	c=278 d=1.26982 t=206395
na ba 	那把	c=1 d=1 t=33990
na bian 	哪邊	c=2 d=1 t=61365
na bian 	那邊	c=84 d=3.45257 t=205860
na bian de 	那邊的	c=2 d=1 t=197117
na bian shuo lai 	那邊說來	c=1 d=1 t=156081
na chu 	拿出	c=1 d=1 t=22935
na chu lai 	拿出來	c=2 d=1 t=98478
na ci 	那次	c=1 d=1 t=125679
na dao 	拿到	c=29 d=0.100004 t=201715
na dao 	那到	c=1 d=1 t=128152
na dao de 	拿到的	c=1 d=1 t=201716
na duan 	那段	c=2 d=1 t=91371
na fen 	那份	c=11 d=1 t=179333
na ge 	哪個	c=26 d=1.00015 t=203454
na ge 	拿個	c=2 d=1.00087 t=21457
na ge 	那個	c=288 d=1.32476 t=206366
na ge ren 	那個人	c=1 d=1 t=20277
na ge shi 	那個是	c=1 d=1 t=205440
na ge zu 	哪個組	c=1 d=1 t=201981
na guo 	拿過	c=1 d=1 t=128349
na guo la 	拿過拉	c=1 d=1 t=42417
na guo lai 	拿過來	c=4 d=1 t=185037
na ji 	哪幾	c=0 d=0.1 t=105542
na ji duan 	哪幾段	c=1 d=1 t=105543
na ji ge 	哪幾個	c=2 d=1 t=15010
na ji tian 	那幾天	c=1 d=1 t=177110
na jia 	哪家	c=2 d=1 t=113124
na jia 	那家	c=2 d=1 t=78560
na jian 	那件	c=2 d=1 t=204665
na jian shi 	那件事	c=1 d=1 t=8163
na jiu 	那就	c=10 d=1.00001 t=205403
na jiu shi 	那就是	c=2 d=1 t=29329
na ju 	那句	c=2 d=1 t=192857
na ju hua 	那句話	c=1 d=1 t=82134
na li 	哪裏	c=130 d=1.02182 t=203779
na li 	那裏	c=17 d=1 t=196224
na li cuo 	哪裏錯	c=1 d=0.1 t=188792
na li cuo le 	哪裏錯了	c=1 d=1 t=188793
na li hui you 	哪裏會有	c=1 d=1 t=71253
na li lai 	哪裏來	c=1 d=1 t=129906
na li you 	哪裏有	c=4 d=1 t=134938
na me 	那麼	c=37 d=1 t=206672
na me duo 	那麼多	c=4 d=0.1 t=158402
na me duo ren 	那麼多人	c=1 d=1 t=158403
na mei 	那每	c=2 d=1 t=183195
na mei duo 	那沒多	c=1 d=1 t=74426
na mei shi 	那沒事	c=2 d=1 t=187191
na mei you 	那沒有	c=1 d=1 t=150059
na ni 	那你	c=3 d=1 t=135123
na nian 	那年	c=1 d=1 t=68583
na pa 	哪怕	c=1 d=1 t=138332
na pian 	哪篇	c=1 d=1 t=174187
na pian 	那篇	c=2 d=1.97045 t=104170
na qi 	拿起	c=4 d=1 t=199712
na qu 	拿去	c=1 d=1 t=109482
na qun 	那羣	c=3 d=1 t=125171
na ru 	納入	c=1 d=1 t=82750
na shi 	納什	c=1 d=1 t=155092
na shi 	那是	c=3 d=1 t=198328
na shi hou 	那時候	c=2 d=1 t=146080
na si 	納斯	c=3 d=1 t=116247
